suitable (masculine)|adecuado
suitable (feminine)|adecuada
to feel like doing|apetecer
to increase|aumentar
the wellbeing|el bienestar
to offer, give (advice (starts with b))|brindar (consejos)
to please|complacer
to take on, to earn|cobrar
the group|el conjunto
to manage|conseguir
to look after|cuidar
whose (masculine)|cuyo
whose (feminine)|cuya
the right (as in, the right to education, right to vote)|el derecho
to enjoy|disfrutar
the submissiveness (starts with a d)|la docilidad
the independence|la emancipación
the pregnancy|el embarazo
the emphasis|el énfasis
to show|enseñar
to choose|escoger
the effort|el esfuerzo
the wife (starts with e)|la esposa
the family (adjective)|familiar
the death (starts with f)|el fallecimiento
the female|la hembra
the home|el hogar
impeccable|impecable
essential|imprescindible
even (e.g "even the conservatives hate rishi")|incluso
the involvement|la incorporación
in the long term|a largo plazo
the ribbon|el listón
to glow|lucir
to keep, maintain|mantener
to deny|negar
the nest|el nido
a backward step (4 words)|un paso hacia atrás
the feather duster|el plumero
the handful|el puñado
the reward (like "re-compensation")|la recompensa
to complain|quejarse
shining, shiny (starts with r) (ends with e)|reluciente
the century|el siglo
to usually do something|soler
to subordinate|subordinar
the submissiveness (starts with an s)|la sumisión
late (adjective)|tardío
the task|la tarea
twentieth|vigésimo
the dwelling, housing|la vivienda
to pack|abarrotar
to thank|agradecer
from now on (4 words)|de ahora en adelante
both (masculine)|ambos
both (feminine)|ambas
to throw|arrojar
the rise, the boom|el auge
the goodwill|la buena voluntad
the armchair|la butaca
the fall|la caída
the drag on a cigarette|la calada
a bed of roses (4 words)|un camino de rosas
the affection|el cariño
to give in/give up|ceder
the number, figure (starts with c)|la cifra
the commitment|el compromiso
the counsellor (male)|el consejero
the counsellor (female)|la consejera
advice|el consejo
consensual (masculine)|consensuado
consensual (feminine)|consensuada
to define|definir
to abolish (starts with d)|derogar
disappearance|la desaparición
to go up/to shoot/to fire|dispararse
to double (up)|duplicarse
worsened (masculine)|empeorado
worsened (feminine)|empeorada
in fashion|de moda
imprisoned (masculine)|encarcelado
imprisoned (feminine)|encarcelada
the lighter (makes fires)|el encendedor
the survey|la encuesta
to face|enfrentar
to mess with|enredar
to become law (3 words)|entrar en vigor
the foam|la espuma
to become established|estabilizarse
the phenomenon|el fenómeno
the failure|el fracaso
swollen (masculine)|hinchado
swollen (feminine)|hinchada
the smoke|el humo
to stress (this is a formal word, to place emphasis on)|incidir
the court|el juzgado
the goal (starts with m)|la meta
the half|la mitad
the triviality|la nimiedad
the headscarf/handkerchief|el pañuelo
through the roof|por las nubes
the precept, rule|el precepto
the process|el procedimiento
to provoke|provocar
the psychologist (male)|el psicólogo
the psychologist (female)|la psicóloga
the jab|la punzada
the support (starts with r) (comes from respaldar)|el respaldo
the respect|el respeto
the challenge|el reto
to revoke|revocar
to come close to|rozar
bluntly (2 words)|sin ambages
to dream|soñar
to suspect|sospechar
a third|un tercio
the witness (noun does not change with gender but article does) (male)|el testigo
the witness (noun does not change with gender but article does) (female)|la testigo
to elapse/to take place (starts with t)|transcurrir
the shame|la vergüenza
to make clear, clarify|aclarar
the baptism|el bautismo
to baptise|bautizar
to bless|bendecir
the shine|el brillo
controversial (masculine)|controvertido
controversial (feminine)|controvertida
the crown|la corona
to fulfil|cumplir
the disaffection (falling out of love)|la desafección
the development|el desarrollo
to have at one's disposal|disponer de
the palm sunday|el Domingo de Ramos
relating to sunday (adjective)|dominical
headed (by (masculine))|encabezado
headed (by (feminine))|encabezada
straight away|enseguida
to die|fallecer
inconceivably|inconcebiblemente
indigenous (masculine) (starts with i)|indígeno
indigenous (feminine) (starts with i)|indígena
to carry out (3 words (starts with L))|llevar a cabo
from madrid (masculine) (adjective)|madrileño
from madrid (feminine) (adjective)|madrileña
to reduce (starts with m)|menguar
the measure|la medida
the monk|el monje
the pope|el papa
to tread on|pisar
to predict|predecir
to give something (as a present, or, to gift)|regalar
to rescue|rescatar
to become secular|secularizarse
to take the place of|suplantar
the link (starts with v)|el vínculo
the experience (starts with v)|la vivencia
