cards from: /Users/luna/flash-cards/languages/german/aqa/GCSE/unit1.txt
Round 1:
✓ honest                                                                     ehrlich
✓ to be interested in (reflexive)                                            sich interessieren für
✓ the reality                                                                die Wirklichkeit(en)
✓ the golden wedding                                                         die goldene Hochzeit
✓ to try out (starts with e)                                                 erproben
✗ to look forward to (reflexive)                                             sich freuen auf
✓ to share                                                                   teilen
✓ the flat, apartment                                                        die Wohnung(en)
✓ happy (starts with g)                                                      glücklich
✓ each, every                                                                jeder, jede, jedes
✓ mean                                                                       gemein
✓ the step brother                                                           der Stiefbruder(¨)
✓ the woman, wife                                                            die Frau(en)
✓ the relationship (starts with B)                                           die Beziehung(en)
✓ to rely on (reflexive)                                                     sich verlassen auf
✓ different, differently, in a different way                                 anders
✓ to take care of, to look after (3 words) (reflexive)                       sich kümmern um
✓ the period of time                                                         der Zeitraum(¨e)
✓ the stability                                                              die Stabilität
✓ quiet, calm                                                                ruhig
✓ the grandparents (this is plural)                                          die Großeltern
✓ reliable                                                                   zuverlässig
✗ to introduce oneself, to imagine (reflexive)                               sich vorstellen
✓ jealous                                                                    eifersüchtig
✓ the pocket money                                                           das Taschengeld(er)
✓ to apologise (reflexive)                                                   sich entschuldigen
✓ the freedom                                                                die Freiheit
✓ excited                                                                    aufgeregt
✓ to hesitate                                                                zögern
✓ the grandfather                                                            der Großvater(¨)
✓ understanding (adj, e.g "he/she is understanding, they are understanding") verständnisvoll
✓ the married couple                                                         das Ehepaar(e)
✓ outdated                                                                   veraltet
✓ tight, close                                                               eng
✓ both                                                                       beide
✓ the material, subject matter                                               der Stoff(e)
✓ to live, reside                                                            wohnen
✗ the community, group                                                       die Gemeinschaft(en)
✓ the stepfather                                                             der Stiefvater(¨)
✓ to describe                                                                beschreiben
✓ together                                                                   zusammen
✓ the aunt                                                                   die Tante(n)
✗ relaxed                                                                    entspannt
✓ to decrease, to lose weight                                                abnehmen
✓ the household                                                              der Haushalt(e)
✓ helpful                                                                    hilfsbereit
✓ single, unmarried (starts with lowercase L)                                ledig
✓ the boyfriend, friend who just so happens to be a boy                      der Freund(en)
✓ married                                                                    verheiratet
✓ the morning                                                                der Morgen
✓ to get annoyed (reflexive)                                                 sich ärgern
✓ to separate (reflexive)                                                    sich trennen
✓ the risk                                                                   das Risiko
✓ the relationship (starts with v)                                           das Verhältnis(se)
✓ three (of us)                                                              zu dritt
✓ to call in, drop by                                                        vorbeikommen
✓ the waste                                                                  die Verschwendung
✓ to give                                                                    geben
✓ to like, to please (+ case)                                                gefallen (+ dat)
✓ social                                                                     gesellschaftlich
✓ the lifesyle                                                               der Lebensstil(e)
✓ to feel (starts with f) (reflexive)                                        sich fühlen
✓ to worry (reflexive)                                                       sich Sörgen machen
