cards from: /Users/luna/flash-cards/languages/german/aqa/GCSE/unit1.txt
Round 1:
✓ both                                                                       beide
✗ to describe                                                                beschreiben
✗ the period of time                                                         der Zeitraum(¨e)
✗ to admit                                                                   zugeben
✓ the morning                                                                der Morgen
✓ the grandfather                                                            der Großvater(¨)
✓ engaged (to someone)                                                       verlobt
✓ each, every                                                                jeder, jede, jedes
✓ the household                                                              der Haushalt(e)
✓ to need (starts with "br")                                                 brauchen
✓ together                                                                   zusammen
✗ to spoil                                                                   verderben
✓ happy (starts with g)                                                      glücklich
✗ the future (has "die")                                                     die Zukunft
✓ the partner (female)                                                       die Partnerin(nen)
✓ the idea (starts with A)                                                   die Ahnung(en)
✓ the girlfriend, friend who just so happens to be a girl                    die Freundin(nen)
✓ necessary (starts wtih "nö")                                               nötig
✓ the freedom                                                                die Freiheit
✓ childless                                                                  kinderlos
✓ the aunt                                                                   die Tante(n)
✗ the married couple                                                         das Ehepaar(e)
✓ necessary, essential (doesn't have a ö in the word)                        notwendig
✗ the waste                                                                  die Verschwendung
✓ the grandparents (this is plural)                                          die Großeltern
✓ the marriage                                                               die Ehe(n)
✓ social                                                                     gesellschaftlich
✓ the habit                                                                  die Angewohnheit(en)
✓ constantly                                                                 ständig
✓ the argument                                                               der Streit(e)
✓ to take care of, to look after (3 words) (reflexive)                       sich kümmern um
✓ the advantage                                                              der Vorteil(e)
✓ the stepfather                                                             der Stiefvater(¨)
✓ for (a period of time), since                                              seit
✗ to look forward to (reflexive)                                             sich freuen auf
✓ the risks                                                                  die Risiken
✓ the relationship (starts with v)                                           das Verhältnis(se)
✓ the reality                                                                die Wirklichkeit(en)
✗ to discuss                                                                 besprechen
✓ the uncle                                                                  der Onkel(- or s)
✗ single, unmarried (starts with lowercase L)                                ledig
✓ three (of us)                                                              zu dritt
✗ to try (starts with v)                                                     versuchen
✓ the pressure                                                               der Druck(e)
✓ the partner (male)                                                         der Partner(-)
✓ relaxed                                                                    entspannt
✓ the bridegroom                                                             der Bräutigam(e)
✗ outdated                                                                   veraltet
✓ now and then                                                               dann und wann
✓ to live (as in, to be alive, starts with lowercase L)                      leben
✗ honest                                                                     ehrlich
✓ to wait, to expect                                                         erwarten
✓ to solve                                                                   lösen
✓ with each other, together (literally: "withoneanother")                    miteinander
✗ unbearable                                                                 unerträglich
✓ the grandmother                                                            die Großmutter(¨)
✗ to get divorced (reflexive)                                                sich scheiden lassen
✓ the family                                                                 die Familie(n)
✓ to last (starts with d)                                                    dauern
✓ to be lucky (2 words)                                                      Glück haben
✓ the reason                                                                 der Grund(e)
✓ to be interested in (reflexive)                                            sich interessieren für
✓ understanding (adj, e.g "he/she is understanding, they are understanding") verständnisvoll
✓ the couple                                                                 das Paar(e)
✓ loving, affectionate                                                       liebevoll
✓ to live, reside                                                            wohnen
✓ to get on one's nerves (4 words)                                           auf die Nerven gehen
✓ the violin                                                                 die Geige(n)
✗ to hesitate                                                                zögern
✓ to like, to please (+ case)                                                gefallen (+ dat)
✗ the relationship (starts with B)                                           die Beziehung(en)
✓ usual                                                                      üblich
✗ the society                                                                die Gesellschaft(en)
✓ the grandma                                                                die Oma(s)
✓ to worry (reflexive)                                                       sich Sörgen machen
✗ to do, to undertake                                                        unternehmen
✓ the golden wedding                                                         die goldene Hochzeit
✓ there is/there are                                                         es gibt
✓ the engagement                                                             die Verlobung(en)
✓ to look for, to search                                                     suchen
✓ to have a sense of humour                                                  einen Sinn für Humor haben
✓ to suffer, to stand                                                        leiden
✓ jealous                                                                    eifersüchtig
✓ the boyfriend, friend who just so happens to be a boy                      der Freund(en)
✓ to look like, to appear (1 word)                                           aussehen
✓ the risk                                                                   das Risiko
✓ in no way, the phrase "no way"                                             keineswegs
✓ married                                                                    verheiratet
✓ the step brother                                                           der Stiefbruder(¨)
✓ the recipe                                                                 das Rezept(e)
✓ to separate (reflexive)                                                    sich trennen
✗ to lose                                                                    verlieren
✓ excited                                                                    aufgeregt
✓ mean                                                                       gemein
✓ to apologise (reflexive)                                                   sich entschuldigen
✗ the flat, apartment                                                        die Wohnung(en)
✓ to decrease, to lose weight                                                abnehmen
✓ to share                                                                   teilen
✓ the stepmother (has "der")                                                 der Stiefmutter(¨)
✓ the cousin (male)                                                          der Cousin(s)
✗ to rely on (reflexive)                                                     sich verlassen auf
✓ the cousin (female)                                                        die Cousine(n)
✗ the community, group                                                       die Gemeinschaft(en)
✓ the circle of friends                                                      der Freundeskreis(e)
✗ to feel (starts with f) (reflexive)                                        sich fühlen
✓ the stepsister (has "die")                                                 die Stiefschwester(n)
✓ the widower                                                                der Witwer(-)
✓ helpful                                                                    hilfsbereit
✓ quiet, calm                                                                ruhig
✓ the town                                                                   die Stadt(¨e)
✓ the grandpa                                                                der Opa(s)
✗ reliable                                                                   zuverlässig
✓ important (starts with w)                                                  wichtig
✗ the person                                                                 die Person(en)
✓ to argue (reflexive)                                                       sich streiten
✗ to get on with (2 words)                                                   auskommen mit
✓ the pocket money                                                           das Taschengeld(er)
✓ tight, close                                                               eng
✓ content, happy (starts with z)                                             zufrieden
✓ different, differently, in a different way                                 anders
✓ in public                                                                  öffentlich
✓ to try out (starts with e)                                                 erproben
✗ to call in, drop by                                                        vorbeikommen
✓ the material, subject matter                                               der Stoff(e)
✓ to give                                                                    geben
✓ to stay together                                                           zusammenbleiben
✓ to get annoyed (reflexive)                                                 sich ärgern
✓ the solution                                                               die Lösung(en)
✓ to break up                                                                in die Brüche gehen
✓ the dance floor                                                            die Tanzfläche(n)
✓ the lifesyle                                                               der Lebensstil(e)
✗ the parent                                                                 der Elternteil(e)
✗ get on with (verb starts with v) (reflexive)                               sich verstehen mit
✗ to turn to (reflexive)                                                     sich wenden an
✗ the present, gift                                                          das Geschenk(e)
✗ divorced                                                                   geschieden
✓ definite, definitely, certain, certainly (starts with b)                   bestimmt
✗ shared together, in common                                                 gemeinsam
✗ to introduce oneself, to imagine (reflexive)                               sich vorstellen
✓ the stability                                                              die Stabilität
✓ the widow                                                                  die Witwe(n)
✓ the friendship                                                             die Freundschaft(en)
✓ something good                                                             etwas Positives
✓ the woman, wife                                                            die Frau(en)
✓ against, opposed to something (starts with d)                              dagegen
✓ patient                                                                    geduldig
Score: 111/146 (76.02739726027397%)

Round 2:
✓ the period of time                                                         der Zeitraum(¨e)
✓ shared together, in common                                                 gemeinsam
✓ get on with (verb starts with v) (reflexive)                               sich verstehen mit
✓ outdated                                                                   veraltet
