throughout|a lo largo de
welcoming|acogedor
from alicante|alicantino
the ceasefire|el alto el fuego
the threat|la amenaza
peaceful (starts with a)|apacible
deep-rooted, entrenched|arraigado
self-government|el autogobierno
the political wing|el brazo político
to lack (2 words starts with c)|carecer de
to confer|conferir
the belief|la creencia
in fact|de hecho
to weaken|debilitar
the challenge (starts with d)|el desafío
uninhabited|deshabitado
the site, location (starts with e)|el emplazamiento
to shut away|encerrar
to enlarge (starts with e)|engrandecer
to enrich|enriquecer
to come into force|entrar en vigor
to school, to teach|escolarizar
the state|estatal
to stigmatise|estigmatizar
to strengthen|fortalecer
to fail|fracasar
appropriate (starts with i)|idóneo
the nature/kind|la índole
to encourage/to induce|inducir a
to register (starts with i)|inscribirse
inclusive (ends in r)|integrador
retired (masculine)|jubilado
retired (feminine)|jubilada
to retire|jubilarse
the legacy|el legado
the coast|el litoral
the mix|la mezcla
to mould|moldear
the moor|el moro
from orihuela|oriolano
roll/register|el padrón
paradoxically|paradójicamente
the supporter (starts with p) (male)|el partidario
the supporter (starts with p) (female)|la partidaria
full (starts with p)|pleno
appreciated (starts with p)|preciado
to prevail|prevalecer
to predominate (starts with pri)|primar
comes from|procedente de
to provide|proporcionar
the people|el pueblo
to reject|rechazar
spread|repartido
to restrict|restringir
the political persuasion|el signo político
the workshop|el taller
to tend to|tender a
to bring|traer
verifiable|verificable
the housing (starts with v)|la vivienda
to get close|acercarse
to harass, to bully|acosar
to attack|agredir
the mayor (male)|el alcalde
the mayor (female)|la alcaldesa
to bet on|apostar por
to appreciate|apreciar
the learning|el aprendizaje
the asylum|el asilo
the groups (starts with b)|las bandas
the surgeon|el cirujano
to condemn|condenar
to trust|confiar
combination (starts with con)|el conjunto
to convince|convencer
to run the risk|correr el riesgo
second hand|de segunda mano
the right (to do something)|el derecho
the MP (male)|el diputado
the MP (female)|la diputada
to set off for|dirigirse a
to reduce (starts with d)|disminuir
the dominicans|los dominicanos
to destroy (3 words)|echar por tierra
to choose (starts with es)|escoger
to avoid|evitar
the success|el éxito
foreign|extranjero
the failure|el fracaso
the thumps|los golpes
the guatemalans|los guatemaltecos
to pay attention (2 words starts with h)|hacer caso
humble|humilde
together|junto
the godmother|la madrina
to enroll (starts with m)|matricularse
the myth|el mito
the level|el nivel
the chest|el pecho
to damage (starts with p)|perjudicar
to remain|permanecer
the politicians|los políticos
to put a stop to|poner remedio
the puerto ricans|los puertoriqueños
to complain|quejarse
the rage|la rabia
to lower|rebajar
to remember|recordar
the performance (starts with r)|el rendimiento
to delay (starts with r)|retrasar
the salvadorians|los salvadoreños
to kidnap|secuestrar
to feel (emotions)|sentirse
to request|solicitar
to underline|subrayar
the luck|la suerte
to bear in mind|tener en cuenta
the fortune telling|la adivinación
clinging|aferrado
the scope/area (starts with á)|el ámbito
the wide range|la amplia gama
the apostasy|la apostasía
leaning on|apoyado en
to hurry (starts with a)|apresuarse
harmoniously|armónicamente
the fasting|el ayuno
the witch|la bruja
the witchcraft|la brujería
the burst of laughter|la carcajada
the candle (starts with c)|el cirio
committed to|comprometido
the convert|el converto
to convene|convocar
the religion (starts with c)|el culto
facing (3 words)|de cara a
the deity|la deidad
the deviation|la desviación
to deviate|desviar
to double|duplicar
prominent|emblemático
to establish|entablar
to hand over|entregar
the ladder|la escalera
the scorn (starts with e)|el escarnio
to spit|escupir
to show off clothes|estrenar
to experience|experimentar
the façade|la fachada
to pretend (starts with f)|fingir
to attend (starts with f)|frecuentar
the spring (starts with f)|la fuentecilla
to gain ground|ganar terreno
the heretic|el hereje
the boost|el impulso
to institute|instituir
to succeed (starts with l)|lograr
the order (starts with m)|el mandato
to hinder (starts with o)|obstaculizar
the stone (starts with pe)|la pedrada
to pursue/to prosecute|perseguir
the firecracker (starts with p)|el petardo
to try (a case)|procesar
related to|relacionado con
unusual (starts with s)|singular
the noose|la soga
the magic, sorcery|el sortilegio
the fabric (starts with t)|el tejido
the witness|el testigo
to shiver (starts with ti)|tiritar
the court (starts with t)|el tribunal
the score (of 20)|la veintena
to defeat|vencer
to monitor|vigilar
